"","titulo","relator","data_de_publicacao","data_de_julgamento","orgao_julgador","ementa","base"
"273","AI 351868 AgR","SYDNEY SANCHES","25/10/2002","27/08/2002","Primeira Turma","EMENTA: - DIREITO CONSTITUCIONAL, ELEITORAL E PROCESSUAL CIVIL.        PREFEITO MUNICIPAL: REJEIÇÃO DE CONTAS. INELEGIBILIDADE.CASSAÇÃO DO REGISTRO DE CANDIDATURA. APROVAÇÃO DAS MESMASCONTAS APÓS O JULGAMENTO NO T.S.E. FATO JURÍDICO SUPERVENIENTE.        RECURSO EXTRAORDINÁRIO: PRESSUPOSTOS DE ADMISSIBILIDADE.PREQUESTIONAMENTO (SÚMULAS 282 E 356). AGRAVO.1.      Não conseguiu o agravante abalar os fundamentos da decisão que, na instância de origem, indeferiu oRecurso Extraordinário, nem os da ora agravada.2.      Na verdade, ostemas constitucionais, focalizados no Recurso Extraordinário, nãohaviam sido suscitados ou examinados nas instâncias ordinárias, nemem contra-razões ao Recurso Especial, ou mesmo no Agravo Regimentalcontra a decisão monocrática, que, no T.S.E., dera provimentoàquele.3.      Ademais, é pacífica a jurisprudência do Supremo Tribunal Federal, no sentido de não admitir, em R.E., alegação de ofensaindireta à Constituição Federal, por má interpretação ou aplicaçãoou mesmo inobservância de normas infraconstitucionais, como são asque regulam o direito eleitoral material e processual, inclusive aLei de Inelegibilidade.4.      No que concerne ao Decreto nº 001, de 4de Janeiro de 2001, da Câmara Municipal de Selvíria-MS, que declarou a nulidade das votações das contas municipais de 1986 e 1988, e, no mesmo ato, as aprovou, é fato jurídico superveniente aos acórdãosdo T.R.E. (datado de 30 de agosto de 2000) e do T.S.E. (datados de 7 de novembro e 23 de novembro de 2000).        Se não foi apreciado nainstância ordinária do T.R.E., nem na especial do T.S.E., não podeser considerado e avaliado, em instância única, por esta Corte, emse tratando de Recurso Extraordinário, que pressupõe oprequestionamento, nas instâncias de origem, como é de sua tranqüila jurisprudência (Súmulas nºs 282 e 356).5.      Importa notar, ainda,que as contas do exercício de 1988 foram rejeitadas em 1991, quandojá estava em vigor a Lei Complementar nº 64, de 18/5/1990, com seuart. 1º, ""g"". E foi com base apenas na rejeição de tais contas que o T.S.E. cassou o registro da candidatura do agravante.6.      Quanto ahaver cessado sua inelegibilidade, para as futuras eleições, em face do alegado término do prazo de cinco anos, após a prolação doacórdão extraordinariamente recorrido, é questão a ser apreciada, na via própria, e nas instâncias ordinárias da Justiça Eleitoral, sefor necessário, quando de nova candidatura.        Mas a inelegibilidade, durante o período de registro dacandidatura e sua eleição, para o atual mandato de Prefeito, estapersiste, já que o Recurso Extraordinário, pelas razões expostas,não pode prosperar.7.      Enfim, para melhor defender seu ponto de vista,quanto ao atual mandato, dispõe o agravante da via própria da AçãoRescisória dos acórdãos do Tribunal Superior Eleitoral, mediante aargüição do fato jurídico novo (aprovação das contas anteriormenterejeitadas), inclusive com eventual tutela cautelar.8.      Agravo improvido.","eleicao"
"274","CR 3166 AgR","ANTÔNIO NEDER","15/08/1980","18/06/1980","Tribunal Pleno","1. Lei de Introdução ao Código Civil Brasileiro, art. 12. Código de Processo civil, art. 88, I e II. É competente a Justiçabrasileira para conhecer de ação judicial em que o réu se acha domiciliado no Brasil ou aqui houver de cumprir-se a obrigação. Caso em que o demandante tem domicilio no Uruguai e o réu é brasileiro domiciliado no Brasil, onde se deverá cumprir a obrigação questionada na demanda proposta no Uruguai. 2. Eleição de foro. Se as partes, uma domiciliada no Uruguai, outra domiciliada no Brasil, contrataram que suas divergências pertinentes ao contrato a que se vincularam seriam solvidas no foro da comarca de São Paulo, Brasil, esse é o foro competente, e não o do Uruguai. 3. Carta rogatória de citação do contratante brasileiro para responder, no Uruguai, à demanda que lhe foi acolá proposta pelo contratante uruguaio. 4. Exequatur inicialmente concedido e posteriormente revogado.5. Agravo regimental a que o STF nega provimento.","eleicao"
"275","RE 22485","BARROS BARRETO","03/12/1953","16/11/1953","Primeira Turma","Contrato de enfiteuse. Divisão do domínio útil, continuando o aforamento em comum; eleição de cabecel. Averbação à margem da transcrição do imóvel. Inocorrência de ofensa aos arts. 681 e 690, § 2º, do Código civil. Incensurável a decisão recorrida.","eleicao"
"276","RE 18444","OROZIMBO NONATO","31/05/1951","04/05/1951","Segunda Turma","Pedido. Alternatividade. Art. 135, n. I do Cod. de Proc. Civil. Eleição do devedor na obrigação alternativa. Art. 202 do Codigo de Comercio e 1092 do Codigo Civil, conhecimento e desprovimento do recurso.","eleicao"
"277","HC 73446","MARCO AURÉLIO","03/05/1996","19/03/1996","Segunda Turma","COMPETÊNCIA - HABEAS-CORPUS - ATO DE TRIBUNAL DE ALÇADACRIMINAL.  Na dicção da  ilustrada maioria, em  relação a qual guardoreservas,  compete ao Supremo Tribunal Federal julgar todo e qualquerhabeas-corpus  dirigido contra ato de Tribunal ainda que não possua aqualificação  de  Superior. Convicção  pessoal  colocada  em, segundoplano, em face de atuação em Órgão fracionado.              SENTENÇA  - PENA-BASE  - FUNDAMENTAÇÃO - CIRCUNSTANCIASJUDICIAIS.   Mostra-se  razoável   a   sentença  que,   a   merce  daculpabilidade,  da  personalidade  do  agente,  das  circunstancias econsequencias do crime, implique fixação da pena-base acima do minimolegal  e  em  patamar  intermediario.  Isso  ocorre  estando  em jogoestelionato,  por manuseio de contas-correntes e desvio de numerario,quando,  entre o minimo de um ano e o maximo de cinco, previstos parao tipo, restou estabelecida a pena-base em tres anos.              CONTINUIDADE   DELITIVA   -   MAJORAÇÃO   DA   PENA   -PERCENTAGEM.  A eleição  do percentual de  acréscimo -  de um sexto adois tercos - há de fazer-se considerado o numero de delitos. Exsurgeinidonea a modificação do percentual maximo de dois tercos o fato de,em  relação  a sete  dos  quarenta  e cinco  perpetrados,  haver sidoreconhecida   a   prescrição  da   pretensão   punitiva   do  Estado.Razoabilidade da manutenção dos dois tercos.","eleicao"
"278","REL 12104","HAHNEMANN GUIMARAES",NA,"25/08/1947","null","É irrecorrível a decisão do Tribunal Superior Eleitoral, que declarou nula a eleição de suplente, porque o candidato eleito não fora inscrito na forma da lei.","eleicao"
"279","RHC 91306","ELLEN GRACIE","26/09/2008","09/09/2008","Segunda Turma","DIREITO PROCESSUAL PENAL E ELEITORAL. RECURSO ORDINÁRIO EM HABEAS   CORPUS. JUSTA CAUSA E PROVA ILÍCITA. GRAVAÇÃO. IMPROVIMENTO.1.      O recurso ordinário abrange, fundamentalmente, duas   questões de direito relacionadas à ação penal instaurada por   supostos crimes eleitorais praticados pelos pacientes: a) falta   de justa causa para a deflagração da ação penal; b) denúncia nula,   eis que baseada em prova ilícita.2.      No contexto da   narrativa dos fatos, há justa causa para a deflagração e   prosseguimento da ação penal contra os pacientes, não se tratando   de denúncia inepta, seja formal ou materialmente.3.      A   denúncia apresenta um conjunto de fatos conhecidos e minimamente   provados com base nos elementos colhidos durante o inquérito.4        É clara a narrativa quanto à existência de fatos aparentemente   delituosos na seara eleitoral, supostamente praticados pelos   pacientes que eram candidatos nas eleições municipais de 2004.5.      Observo que as condutas dos pacientes foram suficientemente   individualizadas, ao menos para o fim de se concluir no sentido   do juízo positivo de admissibilidade da imputação feita na   denúncia. Houve, pois, atendimento às exigências formais e   materiais contidas no art. 41, do Código de Processo Penal.6.        Há substrato fático-probatório suficiente para o início e   desenvolvimento da ação penal pública de forma legítima. Não há   dúvida de que a justa causa corresponde à uma das condições de   procedibilidade para o legítimo exercício do direito de ação   penal.7.      Houve produção de prova testemunhal, além de   interrogatórios de co-réus, na fase policial, que não se   relacionam à gravação de conversas havidas entre uma das pessoas   supostamente contatadas pelos pacientes. Ainda que se considere   ilícita a gravação realizada, consigno que a denúncia não se   encontra embasada apenas neste meio de prova. Ademais, tal   gravação se refere a apenas um dos fatos narrados na denúncia.8.      Recurso ordinário improvido.","eleicao"
"280","Inq 2915","LUIZ FUX","31/05/2013","09/05/2013","Tribunal Pleno","Ementa: PENAL. INQUÉRITO. CRIME CONTRA A HONRA: CALÚNIA E DIFAMAÇÃO. DECLARAÇÕES PROFERIDAS EM PROGRAMA RADIOFÔNICO POR PARLAMENTAR FEDERAL. IMUNIDADE. INEXISTÊNCIA. QUEIXA-CRIME. RECEBIMENTO.    1. O crime de calúnia, para a sua configuração, reclama a imputação de fato específico, que seja criminoso, e a intenção de ofender à honra; enquanto para o delito de difamação pressupõe-se, para a concretização, a existência de ofensa à honra, objetivo do querelante.    2. In casu, em programa radiofônico, o parlamentar federal teria imputado ao querelante a prática do delito de ameaça de morte a repórter, fazendo-o de modo concreto, indicando o local, a data e o móvel da suposta conduta delituosa, bem como a imputação do crime previsto no artigo 28 da Lei nº 11.343/2006 – uso de drogas. Afirmou, também, “ter o querelante praticado falcatruas durante as eleições municipais, bem como realizado transações ilícitas, agressões à imprensa e às pessoas que não lhe fossem simpáticas politicamente, realçando que o prefeito/querelante é pessoa que se dá a bebedeiras, é moleque e vagabundo, agindo com desrespeito em relação às mulheres residentes na comarca”.     3. O animus calumniandi presente naquele que imputa a outrem, falsamente, as condutas de ameaça de morte e de consumo de drogas, delitos previstos no artigo 147 do Código Penal e no artigo 28 da Lei nº 11.343/2006, respectivamente, configura a prática do crime de calúnia.    4. O delito de difamação considera-se perpetrado por quem, afirmando fato certo e definido, ofende a honra de outrem, ainda que se repisem fatos sobre aquilo que os outros reputam a respeito da cidadão, no tocante a seus atributos físicos, intelectuais e morais. Precedente: Inquérito nº 2.503, Plenário, Relator Ministro Eros Grau, DJe de 21/05/2010.    5. Imunidade parlamentar. Inexistência, quando não se verificar liame entre o fato apontado como crime contra a honra e o exercício do mandato parlamentar pelo ofensor. Os atos praticados em local distinto do recinto do Parlamento escapam à proteção absoluta da imunidade, que abarca apenas manifestações que guardem pertinência, por um nexo de causalidade, com o desempenho das funções do mandato (Precedentes).    6. Os indícios da prática dos crimes de calúnia e difamação nas declarações prestadas pelo querelado em programa radiofônico no caso sub judice, impõem o recebimento da queixa-crime.","eleicao"
"281","RE 647672 AgR","LUIZ FUX","01/02/2013","04/12/2012","Primeira Turma","Ementa: AGRAVO REGIMENTAL NO RECURSO EXTRAORDINÁRIO. CONSTITUCIONAL. VEREADOR. OFENSAS VERBAIS. DANOS MORAIS E MATERIAIS. IMUNIDADE PARLAMENTAR. REEXAME DE FATOS E PROVAS. SÚMULA N. 279 DO STF. INVIABILIDADE DO RECURSO EXTRAORDINÁRIO.    1. A repercussão geral pressupõe recurso admissível sob o crivo dos demais requisitos constitucionais e processuais de admissibilidade (art. 323 do RISTF).    2. Consectariamente, quando a ofensa for reflexa ou mesmo quando a violação for constitucional, mas necessária a análise de fatos e provas, não há como se pretender seja reconhecida “a repercussão geral das questões constitucionais discutidas no caso” (art. 102, III, § 3º, da CF).    3. In casu, o Tribunal a quo pronunciou-se quanto à questão sub examine à luz do contexto fático-probatório engendrado nos autos. Para se chegar à conclusão contrária à adotada pelo acórdão impugnado – e afirmar que as ofensas verbais não estariam abrangidas pela imunidade parlamentar, porquanto dissociadas do exercício da função de vereador –, necessário seria o reexame de fatos e provas, o que inviabiliza o extraordinário, a teor do Enunciado da Súmula n. 279 do Supremo Tribunal Federal, que interdita a esta Corte, em sede de recurso extraordinário, sindicar matéria fática.    4. O acórdão originalmente recorrido assentou que: “APELAÇÃO – RESPONSABILIDADE CIVIL – AÇÃO INDENIZATÓRIA – OFENSAS VERBAIS – VEREADOR – ABUSO DE DIREITO NÃO CARACTERIZADO – IMUNIDADE PARLAMENTAR EM SENTIDO MATERIAL – NEXO DE CAUSALIDADE COM O MANDATO – EXERCÍCIO DENTRO DOS LIMITES DO INTERESSE PÚBLICO MUNICIPAL – SENTENÇA MANTIDA – APELO IMPROVIDO. 1. O artigo 29, inciso VIII, da Constituição Federal garante ao vereador imunidade parlamentar dentro da circunscrição do Município. No caso em tela, tendo as supostas ofensas ocorrido no exercício da função, dentro dos limites da cidade e sem abuso de direito, não há danos materiais e morais a serem indenizados. 2. Ao proferir as pretensas ofensas, buscava o edil o interesse dos munícipes, em proteger a moralidade das eleições de 2004 para o cargo de Prefeito. 3. Apelação desprovida.”    5. Agravo regimental a que se nega provimento.","eleicao"
"282","ADI 4583","ROSA WEBER","03/12/2020","23/11/2020","Tribunal Pleno","EMENTA    AÇÃO DIRETA DE INCONSTITUCIONALIDADE. DIREITO CONSTITUCIONAL ELEITORAL. ART. 1º, § 1º, II, DA RESOLUÇÃO Nº 22.610/2007 DO TRIBUNAL SUPERIOR ELEITORAL. CRIAÇÃO DE NOVO PARTIDO COMO HIPÓTESE DE JUSTA CAUSA PARA DESFILIAÇÃO PARTIDÁRIA SEM PERDA DE MANDATO ELETIVO. CONTEÚDO JURÍDICO-NORMATIVO ESSENCIALMENTE PRIMÁRIO APTO AO CONTROLE DE CONSTITUCIONALIDADE. TEMA DIVERSO DO DEBATIDO NAS ADIs 3.999 E 4.086. CABIMENTO. SUPERVENIÊNCIA DA LEI Nº 13.165/2015 INSERINDO O ART. 22-A NA LEI Nº 9.096/1995. ROL TAXATIVO DE JUSTA CAUSA. REVOGAÇÃO TÁCITA DA NORMA IMPUGNADA. PERDA DO INTERESSE DE AGIR. PREJUDICIALIDADE DA AÇÃO.    1. Suscitada a inconstitucionalidade do art. 1º, § 1º, II, da Res.-TSE nº 22.610/2007 que prevê a criação de novo partido como justa causa para a desfiliação partidária sem perda do mandato eletivo.    2. Segundo a jurisprudência desta Suprema Corte, viável o controle abstrato da constitucionalidade de ato do Tribunal Superior Eleitoral de conteúdo jurídico-normativo essencialmente primário.    3. Cabível a presente ação, uma vez que (i) nas ADIs 3.999 e 4.086, o Supremo Tribunal Federal somente se pronunciou sobre a constitucionalidade formal da Res.-TSE nº 22.610/2007, rejeitada a tese de usurpação pelo Tribunal Superior Eleitoral de competência legislativa; e (ii) acolhida, por esta Suprema Corte, ao julgamento da ADI 5.081, a possibilidade de reapreciação da constitucionalidade de dispositivo específico desta Resolução.    4. A superveniência da Lei nº 13.165/2015, inserindo o art. 22-A na Lei nº 9.096/95, ao dispor de forma taxativa e exaustiva sobre as hipóteses de justa causa para a desfiliação partidária, revogou tacitamente o § 1º do artigo 1º da Res.-TSE nº 22.610/2007.    5. O art. 22-A da Lei nº 9.096/1995 acrescentou como hipótese de justa causa, no inciso III do parágrafo único, a mudança de partido durante o período de trinta dias que antecede o prazo de filiação exigido em lei para concorrer à eleição, a chamada “janela” de desfiliação.    6. Antes da introdução do art. 22-A da Lei dos Partidos Políticos, o Tribunal Superior Eleitoral havia firmado entendimento, ao exame da Consulta nº 755-35, de que o prazo para filiação ao novo partido criado, sem a perda do mandato, seria de 30 (trinta) dias contados do registro do Estatuto do partido naquela Corte Eleitoral.    7. A medida cautelar concedida no bojo da ADI 5.398 solucionou a questão de direito intertemporal, ao conferir às agremiações recém criadas, cujos prazos para migração partidária ainda estavam em curso, o direito de não se submeter ao novo regramento, resguardando suas legítimas expectativas.    8. Ação direta de inconstitucionalidade julgada prejudicada, ante a perda superveniente do seu objeto, mais especificamente do interesse processual no prosseguimento do feito, em decorrência da revogação e do exaurimento da eficácia do ato normativo impugnado.","eleicao"
"283","RE 726486 AgR","GILMAR MENDES","05/06/2013","21/05/2013","Segunda Turma","Agravo regimental em recurso extraordinário. 2. Violação aos arts. 1º, 5º, caput e inciso XXXVI, 14, § 5º, e 16, da Constituição. Não ocorrência. 3. Possibilidade de reeleição de prefeito. 4. Prefeito itinerante. Inexistência. 5. Agravo regimental a que se nega provimento. 6. Precedente do RE 637.485.","eleicao"
"284","RE 1362634 AgR","DIAS TOFFOLI","08/06/2022","23/05/2022","Primeira Turma","EMENTA    Agravo interno em recurso extraordinário. Direito Eleitoral. Registro de candidato. Prefeito. Eleição 2020. Deferimento. Inelegibilidade afastada. Artigo 1º, inciso I, g, da LC nº 64/90. Rejeição de contas do chefe do Poder Executivo Municipal. Competência da Câmara Municipal. Contas de governo e de gestão. Caso concreto. Royalties de petróleo. Receita originária do ente municipal. Improbidade administrativa. Suspensão dos direitos políticos. Necessidade de trânsito em julgado. Lei nº 8.429/92. Matéria infraconstitucional. Ausência de prequestionamento. Súmula nº 282/STF. Reexame de fatos e provas. Súmula nº 279/STF.    1. Conforme declinado no decisum agravado, a competência para a fiscalização das receitas oriundas dos royalties de petróleo é improrrogável, não sendo possível aliená-la da Câmara Municipal do Rio de Janeiro, por se tratar, in casu, de contas de prefeito municipal.    2. A controvérsia quanto ao regime constitucional dos royalties do petróleo, segundo o disposto no art. 20, § 1º, da CF, foi analisada no julgamento da ADI nº 4.846, Rel. Min. Edson Fachin, fixando-se que consubstanciam receitas originárias dos entes federados que a eles fazem jus.    3. Segundo a jurisprudência do Supremo Tribunal Federal, consolidada sob o regime da repercussão geral (Temas nºs 157 e 835), “[p]ara fins do art. 1º, inciso I, alínea g, da Lei Complementar 64, de 18 de maio de 1990, alterado pela Lei Complementar 135, de 4 de junho de 2010, a apreciação das contas de prefeito, tanto as de governo quanto as de gestão, será exercida pelas Câmaras Municipais, com o auxílio dos Tribunais de Contas competentes, cujo parecer prévio somente deixará de prevalecer por decisão de 2/3 dos vereadores” (RE nº 848.826, red. do ac. Min. Ricardo Lewandowski, Tribunal Pleno, DJe de 24/8/17).    4. No que tange à alegada desnecessidade do trânsito em julgado da ação de improbidade administrativa para a suspensão dos direitos políticos, a questão foi dirimida nos termos do art. 20 da Lei nº 8.429/92, tratando-se, portanto, de legislação infraconstitucional, não sindicável na via recursal extraordinária.    5. Não se pode conhecer, em agravo regimental, da alegação de que deveria prevalecer o parecer do TCE/SP, o qual somente poderia ser rejeitado pelo voto de 2/3 dos vereadores, conforme o art. 31, §§ 1º e 2º, da CF, tendo em vista a ausência do necessário prequestionamento (Súmulas nºs 282 e 356/STF).    6. Agravo regimental não provido.","eleicao"
"285","Rcl 56518 MC-Ref","ROBERTO BARROSO","10/11/2022","26/10/2022","Primeira Turma","Ementa: Processual penal. Reclamação constitucional e Habeas corpus. Medida cautelar. Investigação acerca de organização criminosa e lavagem de capitais (“rachadinha”). Medida cautelar de afastamento do cargo de Governador do Estado. Dúvida razoável acerca da competência do Superior Tribunal de Justiça (STJ). Liminar deferida. Proposta de referendo.     1. Reclamação constitucional e Habeas Corpus, com pedido de liminar, em face de decisão da Corte Especial do STJ, que determinou, entre outras medidas cautelares, o afastamento do Governador do Estado de Alagoas.     2. Hipótese de investigação que busca apurar a prática dos crimes de organização criminosa, peculato e lavagem de dinheiro em suposto esquema de “rachadinha” na Assembleia Legislativa de Alagoas. Segundo narrado, tal esquema estaria em curso desde 2019, quando o paciente/reclamante exercia o cargo de Deputado Estadual.    3. O Supremo Tribunal Federal (STF), no julgamento da AP 937-QO, Rel. Min. Luís Roberto Barroso, fixou o entendimento de que o foro por prerrogativa de função se aplica apenas aos crimes cometidos “no cargo e em razão do cargo”.     4. Situação concreta em que se apresenta uma dúvida razoável com relação à competência do STJ para a supervisão judicial dos atos sob investigação. Hipótese em que, em cognição sumária, não há elementos sólidos de que os supostos ilícitos estariam relacionados ao âmbito das funções de Governador do Estado. Plausibilidade da alegação de que eventuais ilicitudes estariam circunscritas ao desvio de recursos públicos da Assembleia Legislativa local e, assim, vinculadas ao exercício do cargo de Deputado Estadual, anteriormente ocupado.    5. Sem realizar, neste momento, exame de mérito ou juízo de culpabilidade ou não culpabilidade do investigado, verifica-se, em análise técnica e objetiva acerca do tema da prerrogativa de foro, possível ofensa à orientação firmada pelo Plenário do STF nos autos da AP 937-QO, que se tornou pacífica em ambas as Turmas.    6. O afastamento do Governador se deu entre o primeiro e o segundo turno das eleições por ele lideradas, e sem contraditório. Vale dizer: o paciente/reclamante não foi ouvido em momento algum. O Judiciário deve ter cautela e autocontenção em decisões que interfiram no processo eleitoral no calor da disputa.    7. A presente decisão não interfere com a continuidade das investigações nem impede que se venha a fixar a competência no STJ, caso a prova apurada seja consistente com a atuação do Governador no cargo e em razão do cargo.    8. Liminar referendada.","eleicao"
"286","HC 221528 MC-Ref","ROBERTO BARROSO","10/11/2022","26/10/2022","Primeira Turma","Ementa: Processual penal. Reclamação constitucional e Habeas corpus. Medida cautelar. Investigação acerca de organização criminosa e lavagem de capitais (“rachadinha”). Medida cautelar de afastamento do cargo de Governador do Estado. Dúvida razoável acerca da competência do Superior Tribunal de Justiça (STJ). Liminar deferida. Proposta de referendo.     1. Reclamação constitucional e Habeas Corpus, com pedido de liminar, em face de decisão da Corte Especial do STJ, que determinou, entre outras medidas cautelares, o afastamento do Governador do Estado de Alagoas.     2. Hipótese de investigação que busca apurar a prática dos crimes de organização criminosa, peculato e lavagem de dinheiro em suposto esquema de “rachadinha” na Assembleia Legislativa de Alagoas. Segundo narrado, tal esquema estaria em curso desde 2019, quando o paciente/reclamante exercia o cargo de Deputado Estadual.    3. O Supremo Tribunal Federal (STF), no julgamento da AP 937-QO, Rel. Min. Luís Roberto Barroso, fixou o entendimento de que o foro por prerrogativa de função se aplica apenas aos crimes cometidos “no cargo e em razão do cargo”.     4. Situação concreta em que se apresenta uma dúvida razoável com relação à competência do STJ para a supervisão judicial dos atos sob investigação. Hipótese em que, em cognição sumária, não há elementos sólidos de que os supostos ilícitos estariam relacionados ao âmbito das funções de Governador do Estado. Plausibilidade da alegação de que eventuais ilicitudes estariam circunscritas ao desvio de recursos públicos da Assembleia Legislativa local e, assim, vinculadas ao exercício do cargo de Deputado Estadual, anteriormente ocupado.    5. Sem realizar, neste momento, exame de mérito ou juízo de culpabilidade ou não culpabilidade do investigado, verifica-se, em análise técnica e objetiva acerca do tema da prerrogativa de foro, possível ofensa à orientação firmada pelo Plenário do STF nos autos da AP 937-QO, que se tornou pacífica em ambas as Turmas.    6. O afastamento do Governador se deu entre o primeiro e o segundo turno das eleições por ele lideradas, e sem contraditório. Vale dizer: o paciente/reclamante não foi ouvido em momento algum. O Judiciário deve ter cautela e autocontenção em decisões que interfiram no processo eleitoral no calor da disputa.    7. A presente decisão não interfere com a continuidade das investigações nem impede que se venha a fixar a competência no STJ, caso a prova apurada seja consistente com a atuação do Governador no cargo e em razão do cargo.    8. Liminar referendada.","eleicao"
"287","RE 6196","JOSE LINHARES",NA,"27/06/1947","null","Pelo decreto 5.746, de 9 de dezembro de 1929, prescrevia um ano depois da eleição do liquidatário a ação revogatória de atos praticados pelo devedor antes da falência (art. 60, § 4º). Era dever do liquidatário propor a ação dentro de 20 dias, contados da data de sua eleição, sob pena de destituição. Apesar de decorrido esse prazo, conservava o liquidatário legitimação para pedir que fossem revogados atos do falido, podendo, entretanto, a ação ser também proposta por qualquer credor (art. 67, § único, 4º).","eleicao"
"288","RE 14161","BARROS BARRETO",NA,"05/01/1949","null","Irregularidade na eleição, sem autorizar a anulação da votação - Irrecorrível a decisão do Tribunal Superior Eleitoral, uma vez que não se declarou a invalidade de lei ou ato, em face da Constituição - Jurisprudência pacífica.","eleicao"
"289","ARE 793709 ED","LUIZ FUX","29/08/2014","12/08/2014","Primeira Turma","Ementa: EMBARGOS DE DECLARAÇÃO NO RECURSO EXTRAORDINÁRIO COM AGRAVO. EMBARGOS RECEBIDOS COMO AGRAVO REGIMENTAL. PREVIDENCIÁRIO. RENÚNCIA AOS SALÁRIOS-DE-CONTRIBUIÇÃO DE MENOR EXPRESSÃO ECONÔMICA. MATÉRIA COM REPERCUSSÃO GERAL REJEITADA PELO PLENÁRIO DO STF NO AI Nº 843.287. RENDA MENSAL INICIAL. CRITÉRIO DE CÁLCULO. CONTROVÉRSIA DE ÍNDOLE INFRACONSTITUCIONAL.    1. Os embargos de declaração opostos objetivando a reforma da decisão do relator, com caráter infringente, devem ser convertidos em agravo regimental, que é o recurso cabível, por força do princípio da fungibilidade. (Precedentes: Pet 4.837-ED, rel. Min. CÁRMEN LÚCIA, Tribunal Pleno, DJ 14.3.2011; Rcl 11.022-ED, rel. Min. CÁRMEN LÚCIA, Tribunal Pleno, DJ 7.4.2011; AI 547.827-ED, rel. Min. DIAS TOFFOLI, 1ª Turma, DJ 9.3.2011; RE 546.525-ED, rel. Min. ELLEN GRACIE, 2ª Turma, DJ 5.4.2011).    2. A renúncia aos salários-de-contribuição de menor expressão econômica para compor a média aritmética que servirá de base de cálculo para a renda mensal inicial de benefício previdenciário, quando sub judice a controvérsia, não revela repercussão geral apta a tornar o apelo extremo admissível, consoante decidido pelo Plenário Virtual do STF, na análise do AI nº 843.287, da Relatoria do Min. Cezar Peluso.    3. A revisão de benefício previdenciário, quando sub judice a controvérsia sobre a fixação da RMI, não viabiliza o acesso à via recursal extraordinária, por envolver discussão de tema de caráter eminentemente infraconstitucional. Precedente: ARE 792.043-ED, Rel. Min. Teori Zavascki, Segunda Turma, DJe 1/4/2014.    4. In casu, o acórdão recorrido manteve a sentença, por seus próprios fundamentos, a qual assentou: “Verifica-se assim que não há a possibilidade de eleição dos melhores salários-de-contribuição, mas a determinação de cálculo do salário-de-benefício pela média dos 36 (trinta e seis) últimos salários de contribuição. A lei ainda facultou aos segurados que não verteram contribuições ao Sistema Previdenciário, em um ou nos últimos meses, retroagir até o 48º (quadragésimo oitavo) mês, para buscar os valores restantes a fim de completar os 36 (trinta e seis) salários-de-contribuição e realizar a média aritmética para cálculo do salário-de-benefício e da RMI, evitando assim prejuízo no cálculo do valor da aposentadoria”.    5. Agravo regimental DESPROVIDO.","eleicao"
"290","HC 80383","SYDNEY SANCHES","20/04/2001","07/11/2000","Primeira Turma","EMENTA: - DIREITO CONSTITUCIONAL, PENAL,ELEITORAL E PROCESSUAL PENAL.        JURISDIÇÃO. COMPETÊNCIA. PACIENTE DENUNCIADO PORCRIME DE CALÚNIA CONTRA O PRESIDENTE DA REPÚBLICA, ENTÃOCANDIDATO À REELEIÇÃO E DURANTE CAMPANHA ELEITORAL.        CRIME ELEITORAL: COMPETÊNCIA DA JUSTIÇAELEITORAL.1.      Os acórdãos do T.R.F. e do S.T.J., bem como oparecer do Ministério Público federal, estão corretosenquanto recusaram competência à Justiça estadual.        Não, porém, no ponto em que assentaram acompetência da Justiça federal.2.      É que os termos da denúncia evidenciam tratar-se, em tese, do crime eleitoral previsto no art. 324 e seuparágrafo 1º do Código Eleitoral, pois os fatos se passaramdurante a campanha eleitoral, às vésperas da eleição de03.10.1998, envolvendo nomes e condutas de candidatos, etendo por objetivo manifesto o de influir no resultado dopleito.3.      Ora, em se tratando, em tese, de crimeeleitoral, a denúncia deveria ter sido apresentada peloMinistério Público Eleitoral a Juiz Eleitoral (de 1º grau) -e não pelo Ministério Público federal e a Juiz Federal, comoocorreu, no caso.4.      ""Habeas corpus"" deferido, em parte, para seanular o processo criminal instaurado contra o paciente eco-réus, perante o Juiz Federal da 12ª Vara na SeçãoJudiciária no Distrito Federal, desde a denúncia, inclusivee se determinar que os autos respectivos sejam remetidos aoJuízo Eleitoral de São Paulo, a que for o feito distribuído,para encaminhamento ao Ministério Público Eleitoral, a fimde que adote as providências que lhe parecerem cabíveis.","eleicao"
